Process,Replicate,Gene_tree,Species_Tree,Duplication,NNI,Loss
reconcILS,1232,"(A,(((((I,(C,(G,(F,(H,(E,(J,D))))))),(K,(M,L))),((O,(P,(Q,R))),T)),S),(U,(B,(V,W)))));","(((((((P,(R,Q)),O),S),T),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K)))),((U,B),(V,W))),A);",2,10,10
ete3,1232,"(((((U,B),(W,V)),((W,V),(B,U))),(((((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F))))),(T,((O,((Q,R),P)),S))),(((S,(((R,Q),P),O)),T),((((K,L),(N,M)),((L,K),(M,N))),(((((((((E,(H,D)),((C,I),(G,F))),J),(J,(((D,H),E),((C,I),(G,F))))),(J,((E,(D,H)),((C,I),(G,F))))),(J,((E,(D,H)),((C,I),(G,F))))),(J,((E,(D,H)),((C,I),(F,G))))),(J,((E,(D,H)),((I,C),(G,F))))),(J,((E,(D,H)),((C,I),(G,F))))))))),A);","(((((((P,(R,Q)),O),S),T),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K)))),((U,B),(V,W))),A);",4,0,61
reconcILS,462,"((T,(S,((P,(Q,(R,O))),(((K,(((I,(D,(C,(J,(E,H))))),(M,N)),L)),(G,F)),(U,(V,W)))))),A);","(((((((P,(R,Q)),O),S),T),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K)))),((U,B),(V,W))),A);",2,14,11
ete3,462,"(A,((((((T,(S,(O,((Q,R),P)))),((((K,L),(M,N)),(J,((E,(D,H)),((C,I),(F,G))))),(((((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F))))),(((K,L),(N,M)),(((((((C,I),(G,F)),((D,H),E)),J),(J,((E,(D,H)),((I,C),(G,F))))),(J,((E,(H,D)),((C,I),(G,F))))),(J,((E,(D,H)),((C,I),(G,F))))))),(((L,K),(M,N)),(J,((E,(D,H)),((C,I),(G,F)))))))),((B,U),(W,V))),(((W,V),(B,U)),((((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F))))),(T,(S,(((((Q,R),P),O),(O,((R,Q),P))),(O,((Q,R),P)))))))),(((W,V),(B,U)),((((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F))))),(T,((O,((Q,R),P)),S))))),(((W,V),(B,U)),((((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F))))),((S,(O,((Q,R),P))),T)))));","(((((((P,(R,Q)),O),S),T),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K)))),((U,B),(V,W))),A);",4,0,145
reconcILS,1816,"(((G,(C,(I,(E,(J,(H,D)))))),(L,(K,(M,N)))),(T,((P,(R,(Q,(S,O)))),((V,((W,B),U)),A))));","(((((((P,(R,Q)),O),S),T),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K)))),((U,B),(V,W))),A);",2,15,9
ete3,1816,"(((((((((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F))))),(T,(S,(O,((Q,R),P))))),((((W,V),(B,U)),((V,W),(U,B))),((W,V),(B,U)))),A),(A,(((W,V),(B,U)),((((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F))))),(T,(((((((Q,R),P),O),S),(S,(O,((R,Q),P)))),(S,(O,((Q,R),P)))),(S,(O,((Q,R),P))))))))),(A,(((W,V),(B,U)),((((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F))))),((S,(O,((Q,R),P))),T))))),(A,(((W,V),(B,U)),((T,(S,(O,((Q,R),P)))),((((L,K),(N,M)),((K,L),(M,N))),(((((((E,(D,H)),((C,I),(G,F))),J),(J,(((D,H),E),((C,I),(G,F))))),(J,((E,(D,H)),((C,I),(G,F))))),(J,((E,(D,H)),((I,C),(G,F))))),(J,((E,(D,H)),((C,I),(F,G))))))))));","(((((((P,(R,Q)),O),S),T),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K)))),((U,B),(V,W))),A);",7,0,112
reconcILS,1419,"(((O,P),R),(T,(Q,(S,((((D,(E,(C,(H,(L,(N,(I,(J,M)))))))),(G,F)),A),(B,(U,(V,W))))))));","(((((((P,(R,Q)),O),S),T),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K)))),((U,B),(V,W))),A);",3,23,20
ete3,1419,"((((((A,(((((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F))))),(T,(S,(O,((Q,R),P))))),(((B,U),(W,V)),((W,V),(U,B))))),((((W,V),(B,U)),((T,(S,(O,((Q,R),P)))),((((K,L),(M,N)),(J,((E,(D,H)),((C,I),(F,G))))),((((((((((K,L),(N,M)),(((E,(D,H)),((C,I),(G,F))),J)),(((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F)))))),(((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F)))))),(((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F)))))),(((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F)))))),(((K,L),(M,N)),(J,((E,(D,H)),((I,C),(G,F)))))),(((K,L),(M,N)),(J,(((D,H),E),((C,I),(G,F)))))),(((K,L),(M,N)),(J,((E,(H,D)),((C,I),(G,F))))))))),A)),(A,(((W,V),(B,U)),((((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F))))),(T,((O,((Q,R),P)),S)))))),(A,(((W,V),(B,U)),((((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F))))),(T,(S,(O,((R,Q),P)))))))),(A,(((W,V),(B,U)),((((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F))))),((S,(O,((Q,R),P))),T))))),(A,(((W,V),(B,U)),((((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F))))),(T,(S,((O,((Q,R),P)),(((Q,R),P),O))))))));","(((((((P,(R,Q)),O),S),T),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K)))),((U,B),(V,W))),A);",8,0,214
reconcILS,136,"(U,(((((((((C,(F,G)),(J,D)),I),E),H),((M,(K,N)),L)),(P,(R,(O,(S,Q))))),A),(W,(V,B))));","(((((((P,(R,Q)),O),S),T),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K)))),((U,B),(V,W))),A);",2,16,10
ete3,136,"(((A,(((((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F))))),(T,(S,(O,((Q,R),P))))),(((W,V),(U,B)),((V,W),(B,U))))),((((W,V),(B,U)),((T,(((((O,((R,Q),P)),S),(S,(((Q,R),P),O))),(S,(O,((Q,R),P)))),(S,(O,((Q,R),P))))),((((K,L),(M,N)),(((L,K),(M,N)),((K,L),(N,M)))),((J,((E,(D,H)),((C,I),(G,F)))),((J,(((D,H),E),((C,I),(G,F)))),((J,((E,(D,H)),((C,I),(G,F)))),((((E,(H,D)),((C,I),(G,F))),J),(J,((E,(D,H)),((I,C),(G,F))))))))))),A)),(A,(((W,V),(B,U)),((((K,L),(M,N)),(J,((E,(D,H)),((C,I),(G,F))))),(T,(S,(O,((Q,R),P))))))));","(((((((P,(R,Q)),O),S),T),(((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K)))),((U,B),(V,W))),A);",6,0,97
