Repliccate,Gene_trees
1738,"(((((((((V,B),W),U),L),((((J,K),T),(N,M)),(G,(((F,H),D),(I,C))))),(R,Q)),(P,O)),S),A);"
1210,"(((((B,V),U),W),((T,(S,(((R,P),Q),O))),((N,M),(((((((I,C),((H,E),D)),F),G),J),L),K)))),A);"
703,"((((U,V),(B,W)),((S,(T,(((Q,R),P),O))),((((N,M),L),K),(E,(J,((((F,G),C),D),H)))))),A);"
26,"((((U,B),V),W),((T,(S,(R,(Q,(P,O))))),((((M,L),N),K),((((E,H),D),J),(G,(F,C))))));"
278,"((((U,V),B),((((S,T),(P,(Q,(R,O)))),(D,((E,H),((L,((M,N),K)),((((J,F),G),I),C))))),W)),A);"
631,"(((((U,B),V),W),(T,(O,((S,(R,(Q,P))),(G,((((((H,F),E),I),D),((N,M),(L,K))),(J,C))))))),A);"
1496,"(A,((((U,B),W),V),(O,(((Q,R),P),((S,T),(J,((L,((N,M),K)),(G,(((((H,E),C),I),D),F)))))))));"
511,"((((U,W),V),B),((((N,M),L),K),((((S,T),(((R,Q),P),O)),J),((F,G),(E,(H,(D,C)))))));"
1728,"((((U,B),W),V),((T,(S,(R,(Q,(P,O))))),((N,M),(L,(K,((G,J),(F,(((E,H),D),(I,C)))))))));"
45,"((((W,V),((T,(S,(((Q,R),P),O))),(((((L,K),N),M),(J,(F,(I,(((E,H),D),(G,C)))))),B))),U),A);"
920,"((((U,B),V),(E,(((H,D),J),(G,((I,(F,(((N,M),(T,(R,((Q,(S,P)),O)))),(L,K)))),C))))),A);"
1612,"((((U,B),W),V),(A,(T,(((R,Q),S),((O,P),((D,(E,(((N,M),L),(I,K)))),((((J,G),H),F),C)))))));"
365,"(A,(((((U,V),B),W),(((I,(((E,H),D),((N,M),(L,K)))),((F,G),J)),C)),(S,(((R,Q),P),O))));"
1194,"(((((U,V),W),B),(S,(((R,P),O),(T,(((((N,M),L),K),J),(G,(((((F,I),H),D),E),C))))))),A);"
731,"((((((B,W),V),U),(K,(L,((N,M),(G,(((((F,H),E),D),I),J)))))),((S,T),((P,(R,Q)),O))),A);"
1046,"(((((U,B),W),V),(S,(((R,Q),P),(T,((I,(O,K)),(L,(M,(J,(((((F,G),C),E),D),H))))))))),A);"
1165,"(A,((((B,V),W),U),((S,((R,Q),O)),(((N,M),K),((L,I),(J,(E,((((C,F),G),H),D))))))));"
600,"(((((U,B),W),V),((S,(((Q,R),P),O)),(((N,M),(L,K)),(((((((J,I),E),H),G),F),D),C)))),T);"
819,"(((((B,W),V),U),((T,(P,(((S,R),Q),O))),((((D,L),M),N),((H,(E,J)),(((K,F),I),C))))),A);"
1368,"((((((A,(((V,U),B),W)),((N,M),((((((E,D),J),F),G),H),((L,K),(I,C))))),T),(S,(P,O))),R),Q);"
584,"(((((B,W),V),((((N,M),L),K),(J,(((F,G),((E,D),H)),(I,C))))),(S,(T,(P,((R,Q),O))))),A);"
1515,"(((((W,V),U),B),((P,(((S,R),(Q,T)),O)),((K,J),((I,((E,H),D)),(((((F,G),C),L),N),M))))),A);"
1646,"(((((U,B),W),V),((T,(S,(Q,(P,(R,O))))),(J,((L,(M,(N,K))),((((((G,H),I),E),D),F),C))))),A);"
1793,"((((U,(B,W)),V),((S,(T,(P,((O,R),Q)))),(((N,M),(L,K)),(G,((((((I,J),F),H),D),C),E))))),A);"
1060,"(A,((((U,B),V),W),(R,((Q,P),(O,((S,T),(G,((F,H),(((I,(L,((M,K),N))),J),((E,D),C))))))))));"
1323,"(A,((((U,V),W),(T,(S,((R,(Q,P)),O)))),((L,(M,K)),(((F,G),I),(H,((E,D),(J,C)))))));"
35,"((((W,V),(U,B)),((S,((R,Q),(P,O))),(((N,L),K),(((E,(H,D)),J),((I,(F,G)),C))))),A);"
849,"(A,((((((U,V),(B,W)),P),((((N,M),L),K),(S,((G,I),((((E,H),D),J),C))))),O),(R,Q)));"
1002,"((((W,V),B),U),((P,(S,((R,Q),O))),(((N,M),L),(J,(((G,E),(F,(I,(T,K)))),((H,D),C))))));"
371,"(((((U,B),V),W),((S,(((R,Q),P),O)),(((N,M),(L,K)),(I,(((G,(F,(E,(H,D)))),J),C))))),A);"
727,"(A,(((B,W),V),((T,(R,(Q,O))),(P,(S,((L,((N,M),J)),(K,((I,(F,((H,E),D))),C))))))));"
777,"((((U,B),W),(((S,T),(((R,Q),P),O)),(((N,M),(L,K)),(G,((((((I,J),H),E),D),F),C))))),A);"
1366,"((U,((T,(O,(P,((M,R),(S,(Q,(J,((N,(L,K)),((H,D),((G,(F,I)),(E,C))))))))))),B)),A);"
350,"(A,(((W,V),(U,B)),((((R,Q),P),O),(S,(((L,K),(N,M)),((F,G),((I,J),(((E,H),D),C))))))));"
641,"((((U,(B,W)),V),(R,(S,(P,(Q,(T,O)))))),((L,((N,M),K)),(G,((((I,F),H),J),(D,(E,C))))));"
1147,"((((U,(B,W)),V),(((S,T),(((P,Q),R),O)),((((N,M),L),K),((I,((F,G),J)),((H,(E,D)),C))))),A);"
1661,"(A,(((((((((W,V),B),(F,L)),S),(T,O)),Q),R),P),((U,J),(((G,I),(H,((N,M),((E,K),D)))),C))));"
364,"((((U,B),V),((T,(S,((R,Q),(P,O)))),((N,M),((L,K),(I,(((((E,(F,G)),C),J),D),H)))))),A);"
1358,"(((((U,B),W),V),(S,(O,(((R,Q),T),(P,((((L,K),N),M),(((((((D,J),G),C),I),E),H),F))))))),A);"
1607,"(((((B,V),U),W),((((R,Q),P),S),((T,(F,O)),(J,((L,((K,M),N)),((G,((E,H),D)),(I,C))))))),A);"
410,"((((B,V),(U,W)),(((S,T),(((R,Q),P),O)),(((N,M),(L,K)),(J,(G,(((E,H),D),(F,(I,C)))))))),A);"
569,"(((((((T,(S,((O,(R,Q)),P))),((N,M),((L,K),(J,((((((I,D),G),E),F),C),H))))),V),W),B),U),A);"
339,"(A,((((B,V),W),U),((S,(((R,Q),P),O)),(((E,H),D),(((G,I),(F,((L,((N,M),K)),J))),C)))));"
981,"((((B,V),W),U),((T,(S,((R,Q),(P,O)))),((((N,M),L),K),(J,(((F,G),E),(H,(I,C)))))));"
1400,"((((B,V),U),((T,(S,(R,(Q,(P,O))))),(J,((L,((N,M),K)),((E,(H,(F,(G,(I,C))))),D))))),A);"
275,"(((((((U,B),W),V),(S,(R,((Q,P),O)))),T),(((N,M),(L,K)),((F,(G,(H,D))),(I,C)))),A);"
765,"((((((((B,W),V),U),(P,(Q,(R,O)))),(T,(((F,G),I),((E,(H,D)),C)))),J),((N,M),L)),S);"
1601,"((((U,(B,W)),V),((T,(S,(P,((Q,R),O)))),(J,((F,G),(((((((D,(N,M)),L),E),I),K),C),H))))),A);"
769,"(((((W,V),(U,B)),((L,((N,M),K)),(J,(F,(I,((G,E),((H,C),D))))))),(T,(S,((R,P),O)))),A);"
1337,"(((((U,B),W),V),((((T,((R,Q),O)),P),S),(N,(M,(K,(((((L,G),D),F),I),(((E,H),J),C))))))),A);"
1722,"(((((W,V),B),U),(((S,T),(P,((O,R),Q))),(G,((((((D,F),L),H),K),((N,M),J)),(E,(I,C)))))),A);"
702,"((((U,V),(B,W)),(S,(((((O,R),Q),T),P),((((M,K),L),N),((((((F,H),I),D),G),E),(J,C)))))),A);"
1590,"(((((U,B),V),W),((S,(T,((R,Q),(P,O)))),(((L,K),(((H,E),D),J)),((N,M),(((I,G),F),C))))),A);"
634,"((((W,V),(U,B)),(((S,T),(((P,R),Q),O)),(((K,M),N),(L,((I,J),(((E,D),H),((F,G),C))))))),A);"
445,"((((((B,V),U),W),(((((H,E),D),(I,((N,M),(L,K)))),((G,F),J)),C)),(S,(T,(((O,Q),R),P)))),A);"
1560,"(((((B,V),W),U),((S,((T,P),((R,Q),O))),(K,(((M,E),N),(I,(((L,G),(D,J)),((F,H),C))))))),A);"
616,"(C,((((((((((B,(W,V)),U),(T,(S,(Q,(R,(P,O)))))),(((N,M),K),L)),H),J),D),E),G),I));"
1806,"(T,((((U,B),V),W),((S,(((R,Q),P),O)),((L,((N,M),K)),(((E,H),D),((I,J),((F,G),C)))))));"
199,"(((((U,W),V),B),(T,((S,(((O,P),R),Q)),(((N,L),M),((E,(F,((G,(H,D)),J))),(I,C)))))),A);"
430,"((((U,B),W),((T,(S,((R,Q),P))),(((F,(((N,M),L),K)),J),(I,(D,((E,H),(G,C))))))),A);"
717,"((((U,V),((P,O),(M,(((D,H),E),((G,C),(((F,Q),J),((S,(I,((N,L),K))),(B,W)))))))),T),A);"
1213,"((((U,W),B),((T,(S,((R,Q),(P,O)))),((((N,M),(L,K)),J),((E,D),(H,((F,(I,C)),G)))))),A);"
873,"(((B,V),(U,W)),(((S,T),(P,((R,Q),O))),(D,((N,M),(K,(L,((E,(H,J)),(F,(G,(I,C))))))))));"
931,"(((((U,B),V),W),((T,(S,((R,(Q,P)),O))),((N,M),(((L,K),J),(((G,F),I),(((H,E),D),C)))))),A);"
1339,"((((B,W),V),U),((S,(T,(((R,Q),P),O))),(((N,((M,L),K)),J),(((F,G),((E,H),D)),C))));"
592,"((((B,(U,W)),V),((T,(S,((R,P),(Q,O)))),(((E,D),((F,G),K)),((N,J),(((H,L),I),C))))),M);"
649,"((((B,(U,W)),V),((S,(P,((R,T),(Q,O)))),(((N,M),H),(((((D,(L,K)),((I,F),C)),G),J),E)))),A);"
1298,"((((U,W),V),B),((T,(S,(((R,Q),P),O))),(((N,M),L),(J,((H,(E,D)),(F,(G,(I,C))))))));"
1663,"((((U,V),B),W),((T,(S,(((R,Q),P),O))),((((N,M),K),L),(J,((E,D),(F,((G,I),C)))))));"
292,"(A,((((W,V),U),B),((T,(S,((R,Q),(P,O)))),(((((N,M),L),K),J),(E,((((H,F),G),D),(I,C)))))));"
435,"(((((W,V),B),U),((S,(((R,Q),P),O)),(T,(L,((N,M),(K,(((E,H),D),(J,((F,G),C))))))))),A);"
515,"((((U,W),V),B),((T,(S,((R,P),O))),((F,(N,M)),(I,(((L,K),J),((((D,E),H),G),C))))));"
891,"((((W,V),(U,B)),(T,((S,(Q,P)),O))),(((N,M),(L,K)),(J,((((I,E),H),D),(G,(F,C))))));"
387,"((((U,B),W),((S,(T,(((R,Q),P),O))),(((M,L),(N,K)),((E,(((F,G),I),J)),(D,(H,C)))))),A);"
517,"(((((B,V),U),W),((T,((((P,O),Q),R),S)),(J,((I,((E,H),D)),(((F,G),((N,M),(L,K))),C))))),A);"
599,"(A,((((W,V),(U,B)),(S,(T,(P,((R,Q),O))))),(((E,D),H),(N,(((F,M),G),(((L,(I,K)),J),C))))));"
1195,"(((((B,W),V),U),((S,(P,((R,Q),O))),(K,((N,M),(L,(J,(G,((((H,E),F),D),(I,C))))))))),A);"
1235,"((T,(R,P)),(S,((((((((((((B,(U,W)),V),O),J),((N,M),K)),L),F),I),G),C),(E,D)),H)));"
1397,"(((((B,V),W),U),(((S,T),((R,(Q,P)),O)),((((N,M),L),K),((E,H),(((((D,C),J),G),I),F))))),A);"
1608,"((((U,W),B),((S,(((R,Q),(T,P)),O)),(((N,M),(L,K)),(J,((I,(F,((E,H),D))),C))))),A);"
1697,"((((U,B),V),W),((T,(S,(((R,Q),P),O))),(((((N,M),L),K),J),((E,H),(((G,F),I),C)))));"
480,"(((B,V),(U,W)),(F,(M,(((((N,E),P),I),(H,(((R,Q),(T,O)),(((S,G),L),K)))),((D,J),C)))));"
928,"((((W,V),(U,B)),(((S,T),((R,Q),(P,O))),(((N,M),L),(J,(((H,D),E),(I,((F,C),G))))))),A);"
54,"(A,((((U,B),W),V),((I,K),((L,J),(N,(((F,G),M),((E,((H,D),(S,(T,((R,Q),(P,O)))))),C)))))));"
303,"(((((U,V),B),W),((S,(P,(((R,Q),T),O))),(F,(K,((N,M),(((L,I),(((D,E),H),J)),(G,C))))))),A);"
667,"(((((U,B),W),V),(((S,T),(((R,Q),P),O)),((L,((N,M),K)),(J,((E,(H,D)),(I,(F,C))))))),A);"
763,"(((((U,V),B),W),(((S,T),(((R,Q),P),O)),((L,K),(J,((E,(H,D)),(((F,G),I),C)))))),A);"
