Process,Replicate,Gene_tree,Species_Tree,Duplication,NNI,Loss
reconcILS,10758,"(A,(((((((((C,(C,C)),(E,(E,E))),I),(D,H)),((G,G),F)),J),((K,((M,M),N)),L)),(((O,((P,P),(Q,R))),T),S)),(W,(V,(B,(U,(U,(U,U))))))));","(A,(((W,V),(B,(((U,U),U),U))),((((K,L),((M,M),N)),(J,((((E,E),E),(D,H)),((((C,C),C),I),((G,G),F))))),(T,(S,(O,((Q,R),(P,P))))))));",10,6,0
ete3,10758,"(((((W,V),((((U,U),U),U),B)),((U,B),(V,W))),((((((P,(R,Q)),O),S),T),((S,(((R,Q),(P,P)),O)),T)),((((N,M),(K,L)),((L,K),(N,(M,M)))),(J,((((I,C),(F,(G,G))),((H,D),E)),((((F,G),(I,C)),(E,(H,D))),((((F,G),(C,I)),((H,D),E)),(((F,G),(I,((C,C),C))),((H,D),((E,E),E)))))))))),A);","(A,(((W,V),(B,(((U,U),U),U))),((((K,L),((M,M),N)),(J,((((E,E),E),(D,H)),((((C,C),C),I),((G,G),F))))),(T,(S,(O,((Q,R),(P,P))))))));",10,0,33
reconcILS,148,"((A,(A,A)),(((((((C,(H,H)),(D,(E,(G,F)))),(I,I)),J),(((K,K),L),(M,N))),(((O,(P,(Q,R))),S),T)),(W,(V,(B,(U,U))))));","((A,(A,A)),(((W,V),(B,(U,U))),(((((K,K),L),(M,N)),(J,(((E,(D,H)),((C,(I,I)),(G,F))),(((E,(D,H)),((C,I),(G,F))),((E,(D,(H,H))),((C,I),(G,F))))))),(T,(S,(O,((Q,R),P)))))));",8,2,9
ete3,148,"(((((W,V),((U,U),B)),((U,B),(V,W))),((T,(S,(((R,Q),P),O))),(((N,M),(L,(K,K))),(J,((((F,G),(C,(I,I))),((H,D),E)),(((((I,C),(F,G)),((H,D),E)),(((F,G),(I,C)),((H,D),E))),(((F,G),(I,C)),((D,(H,H)),E)))))))),((A,A),A));","((A,(A,A)),(((W,V),(B,(U,U))),(((((K,K),L),(M,N)),(J,(((E,(D,H)),((C,(I,I)),(G,F))),(((E,(D,H)),((C,I),(G,F))),((E,(D,(H,H))),((C,I),(G,F))))))),(T,(S,(O,((Q,R),P)))))));",7,0,25
reconcILS,534,"(A,(((((((((C,C),I),(E,E)),D),(H,H)),((J,J),(G,F))),((K,L),((M,M),N))),(((((O,O),P),((Q,Q),(R,R))),S),T)),(B,((U,U),(V,W)))));","(A,(((W,V),(B,(U,U))),((((K,L),((M,M),N)),((J,J),(((E,E),(D,(H,H))),(((C,C),I),(G,F))))),(T,(S,((O,O),(((Q,Q),(R,R)),P)))))));",9,7,0
ete3,534,"(((((B,(U,U)),(W,V)),((U,B),(V,W))),((T,(S,(((P,((R,R),(Q,Q))),O),(((R,Q),P),(O,O))))),(((N,(M,M)),(L,K)),(((((I,C),(F,G)),((H,D),E)),(J,J)),(J,((((F,G),(I,C)),((D,(H,H)),E)),((((F,G),(I,C)),((H,D),E)),(((F,G),(I,(C,C))),((H,D),(E,E)))))))))),A);","(A,(((W,V),(B,(U,U))),((((K,L),((M,M),N)),((J,J),(((E,E),(D,(H,H))),(((C,C),I),(G,F))))),(T,(S,((O,O),(((Q,Q),(R,R)),P)))))));",13,0,27
reconcILS,8218,"((((((C,((D,(H,H)),E)),((J,J),(G,(G,(G,F))))),I),((K,(M,N)),L)),((((O,(O,O)),(P,(R,((Q,(Q,(Q,(Q,Q)))),(R,(R,R)))))),S),T)),((W,(B,U)),(V,V)));","(A,(((W,(V,V)),(B,U)),((((K,L),(M,N)),((J,J),((E,(D,(H,H))),((C,I),(((G,G),F),(G,F)))))),(T,(S,((O,(O,O)),((((((Q,Q),Q),Q),Q),(((R,R),R),R)),P)))))));",14,9,2
ete3,8218,"((((U,B),(W,(V,V))),((V,W),(U,B))),((T,(S,((((((R,R),R),((((Q,Q),Q),Q),Q)),(Q,R)),P),((O,O),O)))),((((N,M),(K,L)),((L,K),(N,M))),(((((F,G),(C,I)),((H,D),E)),J),(((((I,C),(((F,G),(F,G)),(F,G))),((H,D),E)),(J,J)),(J,(((F,G),(I,C)),(E,((H,H),D)))))))));","(A,(((W,(V,V)),(B,U)),((((K,L),(M,N)),((J,J),((E,(D,(H,H))),((C,I),(((G,G),F),(G,F)))))),(T,(S,((O,(O,O)),((((((Q,Q),Q),Q),Q),(((R,R),R),R)),P)))))));",11,0,24
reconcILS,11290,"(A,((((((C,((L,(L,(K,K))),(M,(M,(N,M))))),D),(G,(E,(F,(H,(J,(H,F))))))),(I,I)),(((P,(O,O)),(Q,(R,R))),((T,(T,T)),S))),(B,(W,(V,U)))));","(A,(((W,V),(B,U)),(((((((K,K),(L,L)),(((M,M),N),(M,N))),(J,((E,(D,H)),((C,I),(G,F))))),(((K,L),(M,N)),((J,((E,(D,H)),((C,I),(G,F)))),(J,(((E,(D,(H,H))),((C,I),(G,(F,F)))),((E,(D,H)),((C,I),(G,F)))))))),(((K,L),(M,N)),(J,((E,(D,H)),((C,(I,I)),(G,F)))))),(((T,T),T),(S,((O,O),((Q,(R,R)),P)))))));",15,12,22
ete3,11290,"((((((B,U),(W,V)),((U,B),(V,W))),((U,B),(V,W))),((((((P,(R,Q)),O),S),((T,T),T)),((S,(((P,((R,R),Q)),O),(((R,Q),P),(O,O)))),T)),((((((F,G),(C,(I,I))),((H,D),E)),J),((N,M),(L,K))),((((N,M),(L,K)),((((((((G,F),(I,C)),((D,H),E)),J),((((F,G),(I,C)),((D,H),E)),J)),((((G,F),(I,C)),((H,D),E)),J)),((((F,G),(I,C)),((H,D),E)),J)),((((F,G),(I,C)),((H,D),E)),J))),((((((F,G),(I,C)),((H,D),E)),J),((N,M),(L,K))),(((((F,G),(I,C)),((H,D),E)),J),((((M,N),(N,M)),(N,M)),(((K,K),L),(K,L))))))))),A);","(A,(((W,V),(B,U)),(((((((K,K),(L,L)),(((M,M),N),(M,N))),(J,((E,(D,H)),((C,I),(G,F))))),(((K,L),(M,N)),((J,((E,(D,H)),((C,I),(G,F)))),(J,(((E,(D,(H,H))),((C,I),(G,(F,F)))),((E,(D,H)),((C,I),(G,F)))))))),(((K,L),(M,N)),(J,((E,(D,H)),((C,(I,I)),(G,F)))))),(((T,T),T),(S,((O,O),((Q,(R,R)),P)))))));",12,0,85
