Repliccate,Gene_trees
5563,"(((((U,B),(W,W)),V),(((S,T),(((R,Q),(P,P)),O)),((L,((N,M),(K,K))),((H,((E,E),D)),((F,F),(((G,G),(J,J)),((I,I),C))))))),A);"
5657,"(((((B,V),((U,U),W)),((((R,Q),(T,T)),(S,(P,P))),O)),(((((N,N),M),((L,K),K)),J),((((((((((D,D),I),G),H),I),F),G),H),F),(E,C)))),A);"
8941,"(((((V,V),(U,W)),B),((T,(S,(((R,Q),P),(O,O)))),(((N,M),(L,K)),(((J,J),J),(((H,H),(((E,E),E),(D,D))),((G,G),(F,(I,(C,C))))))))),A);"
9913,"(((((V,V),W),(U,B)),(T,((((R,Q),((P,P),P)),(O,O)),(S,(((((N,M),N),N),(L,K)),(J,(((H,H),(E,D)),((G,I),(F,C))))))))),A);"
173,"((((((V,V),W),B),U),((((N,N),M),M),(((T,T),(S,((P,P),((((Q,Q),O),R),O)))),((L,(K,K)),((J,J),((I,I),(((F,F),G),((((((E,H),H),E),E),D),(C,C))))))))),A);"
3335,"(((((((U,U),U),B),W),V),((T,((S,S),((((((R,Q),R),Q),R),P),O))),((((N,M),L),K),(E,((H,H),(((G,((F,F),(I,I))),D),((((J,J),J),J),C))))))),A);"
6422,"(A,(((V,V),(U,(B,W))),((T,(S,(((R,Q),(P,P)),O))),(((N,M),((L,L),K)),(J,((F,G),(I,(((H,H),(E,D)),C))))))));"
9749,"(A,(((U,V),(B,((W,W),W))),(((S,T),(((R,Q),(P,P)),O)),(J,((E,E),(D,(((H,H),D),(((N,(M,M)),((K,L),L)),(F,(((G,G),G),(I,(C,C))))))))))));"
1966,"(A,(((W,V),(U,B)),((S,(P,(((R,R),Q),(T,O)))),((L,(((((N,N),N),N),(M,M)),K)),((J,J),(((H,H),(E,D)),((F,(G,G)),(C,C))))))));"
2447,"(A,((B,((U,((T,((S,R),((((((Q,Q),R),Q),R),((P,P),P)),(O,O)))),((L,((N,M),K)),(J,((((H,(H,D)),E),D),(I,(((((F,G),F),F),G),(I,C)))))))),((W,W),W))),V));"
4511,"((((((U,(B,B)),V),W),(T,(((R,Q),P),(S,O)))),(((N,(((M,M),M),M)),(L,K)),(I,((((G,G),G),(F,(((((((D,H),D),H),(E,E)),D),H),H))),((C,C),C))))),A);"
