Process,Replicate,Gene_tree,Species_Tree,Duplication,NNI,Loss
reconcILS,9847,"((AC,(((((((Z,G),AB),AA),(((X,Y),(U,((W,V),T))),((Q,P),((S,R),((S,Q),(K,(L,((N,(J,((M,M),I))),(O,H))))))))),B),C),((F,(E,D)),A))),AC);","(,(B,(A,((F,(D,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(T,((V,W),U)))))))))));",3,14,6
ete3,9847,"((((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),AC),(((B,(((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((D,E),F)),A)),(((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),((((C,((((((((((((K,L),(N,H)),((M,I),J)),O),(O,(((K,L),(H,N)),((I,(M,M)),J)))),((((K,L),(N,H)),((M,I),J)),O)),((((L,K),(N,H)),((M,I),J)),O)),((R,S),(P,Q))),(((((K,L),(N,H)),((M,I),J)),O),((Q,P),(R,S)))),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(P,Q)))),(((X,(((U,(V,W)),T),(((W,V),U),T))),Y),((((U,(W,V)),T),X),Y))),(((Z,G),(AB,AA)),((AA,AB),(G,Z))))),((E,D),F)),A),B))),AC));","(,(B,(A,((F,(D,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(T,((V,W),U)))))))))));",8,0,133
reconcILS,10356,"((((((((((AB,AB),AA),G),Z),(((X,Y),((W,((V,V),U)),(T,T))),((((S,R),((Q,Q),Q)),P),(O,(N,(I,(L,(K,(J,(M,H)))))))))),(F,(E,D))),C),A),AC),B);","(AC,(B,(A,((F,(D,E)),(C,(((,AA),(G,Z)),((((P,),(R,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(,((,W),U)))))))))));",6,12,4
ete3,10356,"((((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),AC),((B,(A,(((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),((C,((((((((((((K,L),(N,H)),((I,M),J)),(((K,L),(N,H)),((M,I),J))),(((L,K),(N,H)),((M,I),J))),(((K,L),(N,H)),((M,I),J))),(((K,L),(N,H)),((M,I),J))),(((K,L),(H,N)),((M,I),J))),O),(((S,R),(Q,P)),((P,(Q,(Q,Q))),(R,S)))),(((X,((T,T),(((W,(V,V)),U),(U,(V,W))))),Y),((((U,(W,V)),T),X),Y))),(((G,Z),(AA,AB)),((Z,G),(AA,(AB,AB)))))),((D,E),F))))),AC));","(AC,(B,(A,((F,(D,E)),(C,(((,AA),(G,Z)),((((P,),(R,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(,((,W),U)))))))))));",11,0,108
reconcILS,11035,"(((F,(E,D)),((((Z,Z),AB),G),((Y,((X,X),(((W,V),U),T))),(((Q,Q),P),((((S,S),(R,R)),(((J,J),(M,I)),O)),(K,(L,((N,N),(H,H))))))))),(((B,B),A),C));","(AC,(,(A,((F,(D,E)),(C,(((AB,AA),(G,)),((((P,),(,)),(O,((,(I,M)),((,),(L,K))))),(Y,(,(T,((V,W),U)))))))))));",9,9,2
ete3,11035,"((((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),(B,B))),((A,((C,(((((((((M,I),J),(((K,L),((H,H),(N,N))),((L,K),(N,H)))),O),((S,R),(Q,P))),(((Q,P),((R,R),(S,S))),((((K,L),(N,H)),((I,M),(J,J))),O))),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(P,(Q,Q))))),(((T,(U,(V,W))),(X,X)),Y)),(((Z,G),(AA,AB)),((G,(Z,Z)),(AA,AB))))),((D,E),F))),B));","(AC,(,(A,((F,(D,E)),(C,(((AB,AA),(G,)),((((P,),(,)),(O,((,(I,M)),((,),(L,K))))),(Y,(,(T,((V,W),U)))))))))));",12,0,78
reconcILS,1578,"((AC,(((((((AB,AA),(Z,G)),(((X,((W,V),(U,T))),(Y,(V,T))),(((S,R),(Q,P)),(I,(I,((J,M),(O,(K,(L,(N,H)))))))))),C),(F,((E,E),D))),A),B)),AC);","(,(B,(A,((F,(D,)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(T,((V,W),U)))))))))));",3,9,6
ete3,1578,"((((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),AC),((B,(A,(((D,(E,E)),F),(C,((((((((((M,I),J),(((K,L),(H,N)),((L,K),(N,H)))),O),((((K,L),(N,H)),((I,M),J)),O)),((((K,L),(N,H)),((M,I),J)),O)),((((K,L),(N,H)),((M,I),J)),O)),((P,Q),(R,S))),(((X,((U,(W,V)),T)),Y),(Y,(((((W,V),U),T),((U,(V,W)),T)),X)))),((G,Z),(AA,AB))))))),AC));","(,(B,(A,((F,(D,)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(T,((V,W),U)))))))))));",6,0,55
reconcILS,1605,"((AC,(((((((Z,((((((G,G),G),G),G),G),G)),AA),AB),((Y,(X,(((W,V),(U,U)),T))),((S,(Q,P)),((J,(M,I)),(O,((K,(L,L)),(N,H))))))),C),((F,(E,((D,D),D))),A)),B)),AC);","(,(B,(A,((F,(,E)),(C,(((AB,AA),(,Z)),((((P,Q),(R,S)),(O,((J,(I,M)),((H,N),(,K))))),(Y,(X,(T,((V,W),)))))))))));",10,4,1
ete3,1605,"((((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),AC),((B,((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),(((D,(D,D)),E),F)),A),((((E,D),F),(C,((((((((M,I),J),((H,N),((L,L),K))),O),((((K,L),(N,H)),((I,M),J)),O)),((R,S),(P,Q))),(((T,((U,U),(V,W))),X),Y)),(((Z,G),(AA,AB)),((AB,AA),((G,(G,(G,(G,(G,(G,G)))))),Z)))))),A))),AC));","(,(B,(A,((F,(,E)),(C,(((AB,AA),(,Z)),((((P,Q),(R,S)),(O,((J,(I,M)),((H,N),(,K))))),(Y,(X,(T,((V,W),)))))))))));",8,0,67
