Process,Replicate,Gene_tree,Species_Tree,Duplication,NNI,Loss
reconcILS,1132,"(((((((((Z,G),AA),AB),(Y,((X,(((W,V),(U,U)),(T,T))),(O,(((S,R),(Q,(P,P))),(((((K,K),K),L),(N,N)),((((((M,M),M),M),M),M),(J,(I,H))))))))),C),(F,((E,E),D))),(AC,AC)),A),B);","(,(B,(A,((F,(D,)),(C,(((AB,AA),(G,Z)),((((,Q),(R,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(,((V,W),)))))))))));",13,8,4
ete3,1132,"((((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),AC),((((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),AC),(((A,(((D,(E,E)),F),(C,((((Y,(((T,T),((U,U),(V,W))),X)),(((O,((((((K,L),(N,H)),((M,I),J)),(((K,L),(N,H)),((M,I),J))),(((K,L),(N,H)),((I,(M,(M,(M,(M,(M,M)))))),J))),(((M,I),J),((H,(N,N)),(L,(K,(K,K))))))),(((P,P),Q),(R,S))),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P))))),(((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P))))),(((Z,G),(AA,AB)),((AB,AA),(G,Z))))))),B),(AC,AC))));","(,(B,(A,((F,(D,)),(C,(((AB,AA),(G,Z)),((((,Q),(R,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(,((V,W),)))))))))));",14,0,107
reconcILS,5944,"((B,((((((Z,Z),((G,G),G)),AA),AB),(((((X,X),X),(Y,Y)),(((W,V),(U,U)),T)),(((S,R),(Q,P)),(((O,O),O),((J,((M,M),I)),(((K,L),N),((((H,H),H),H),H))))))),(F,(E,D)))),AC);","(AC,(B,(A,((F,(D,E)),(C,(((AB,AA),(,)),((((P,Q),(R,S)),(,((J,(I,)),((,N),(L,K))))),(,(,(T,((V,W),)))))))))));",14,3,2
ete3,5944,"(AC,((A,((C,((((((((K,L),(N,(H,(H,(H,(H,H)))))),((H,N),(L,K))),((I,(M,M)),J)),(O,(O,O))),((P,Q),(R,S))),(((X,(T,((U,U),(V,W)))),Y),((((U,(W,V)),T),(X,(X,X))),(Y,Y)))),(((Z,G),(AA,AB)),((AB,AA),((G,(G,G)),(Z,Z)))))),((D,E),F))),B));","(AC,(B,(A,((F,(D,E)),(C,(((AB,AA),(,)),((((P,Q),(R,S)),(,((J,(I,)),((,N),(L,K))))),(,(,(T,((V,W),)))))))))));",11,0,13
reconcILS,8130,"((AC,((((((((G,AB),AA),Z),((Y,((X,X),(((W,V),((U,U),U)),T))),(((S,R),(Q,P)),(((O,O),O),(((K,K),L),(N,(((M,M),((J,J),(I,I))),(N,(H,H))))))))),(F,(E,D))),C),A),B)),AC);","(,(B,(A,((F,(D,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(,((,(,)),((,),(L,))))),(Y,(,(T,((V,W),)))))))))));",11,8,0
ete3,8130,"((((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),AC),((B,(A,(((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),((C,(((((((((K,L),((H,H),N)),(((M,(I,I)),(J,J)),((I,(M,M)),J))),(((K,L),(H,N)),((M,I),J))),(((N,H),(L,(K,K))),((M,I),J))),(O,(O,O))),((P,Q),(R,S))),(((T,((U,(U,U)),(V,W))),(X,X)),Y)),(((G,Z),(AA,AB)),(((Z,G),(AB,AA)),((Z,G),(AA,AB)))))),((D,E),F))))),AC));","(,(B,(A,((F,(D,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(,((,(,)),((,),(L,))))),(Y,(,(T,((V,W),)))))))))));",13,0,75
reconcILS,960,"(((((((((AA,AA),((((X,X),Y),((((W,W),V),(U,U)),T)),(Q,(((S,R),P),((((M,M),M),(N,O)),(((((((J,J),J),J),J),J),I),(I,(((K,K),L),(H,H))))))))),AB),(Z,G)),C),B),(F,(E,D))),(AC,AC)),A);","(,(B,(A,((F,(D,E)),(C,(((AB,),(G,Z)),((((P,Q),(R,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(,(T,((V,),)))))))))));",15,12,6
ete3,960,"((((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),AC),((AC,AC),(((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((D,E),F)),A),B),(((((E,D),F),(C,(((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((AA,AB),(G,Z))),(((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),(((Z,G),(AB,(AA,AA))),(((((O,((((M,I),J),((N,(H,H)),(L,(K,K)))),(((K,L),(N,H)),((M,I),(J,(J,(J,(J,(J,J))))))))),(((((K,L),(H,N)),((M,I),J)),O),((((K,L),(N,H)),((I,(M,(M,M))),J)),O))),((Q,P),(R,S))),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(P,Q)))),(((X,(T,((U,U),(V,(W,W))))),Y),((((U,(W,V)),T),(X,X)),Y)))))))),A),B))));","(,(B,(A,((F,(D,E)),(C,(((AB,),(G,Z)),((((P,Q),(R,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(,(T,((V,),)))))))))));",16,0,147
reconcILS,6550,"((((((((((((((AA,AA),AA),AA),AA),AA),AA),AA),AA),(Z,G)),AB),(((X,X),(Y,(((W,V),U),T))),((S,R),((Q,P),(O,((((J,J),J),(M,M)),(((K,L),N),H))))))),((((B,B),B),((F,(E,D)),A)),C)),(AC,AC)),AC);","(,(,(A,((F,(D,E)),(C,(((AB,),(G,Z)),((((P,Q),(R,S)),(O,((,(I,)),((H,N),(L,K))))),(Y,(,(T,((V,W),U)))))))))));",8,10,1
ete3,6550,"((((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),AC),((AC,AC),((((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((D,E),F)),A),(B,(B,B)))),((((C,((((((S,R),(P,Q)),(((((K,L),(N,H)),((H,N),(L,K))),((I,(M,M)),(J,(J,J)))),O)),(((((K,L),(N,H)),((M,I),J)),O),((Q,P),(R,S)))),(((X,(T,(U,(V,W)))),Y),((((U,(W,V)),T),(X,X)),Y))),(((Z,G),(AA,AB)),((AB,(AA,(AA,(AA,(AA,(AA,(AA,(AA,(AA,AA))))))))),(G,Z))))),((E,D),F)),A),B))));","(,(,(A,((F,(D,E)),(C,(((AB,),(G,Z)),((((P,Q),(R,S)),(O,((,(I,)),((H,N),(L,K))))),(Y,(,(T,((V,W),U)))))))))));",12,0,111
reconcILS,8328,"((B,((((((AA,AA),((Z,G),(AB,AB))),((Y,(X,(((W,V),U),T))),((((S,(R,R)),Q),P),((O,O),((J,(M,I)),((K,L),(N,H))))))),(((C,C),C),C)),(F,(E,(D,D)))),(AC,AC))),A);","(,(B,(A,((F,(,E)),(,(((,),(G,Z)),((((P,Q),(,S)),(,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(T,((V,W),U)))))))))));",8,5,0
ete3,8328,"((((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),AC),((((A,((((D,D),E),F),((C,(C,(C,C))),(((((((H,N),(L,K)),((I,M),J)),(O,O)),(((S,R),(Q,P)),((P,Q),((R,R),S)))),(((T,(U,(V,W))),X),Y)),(((AA,(AB,AB)),(G,Z)),((Z,G),(AB,(AA,AA)))))))),B),(AC,AC)),(((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),AC)));","(,(B,(A,((F,(,E)),(,(((,),(G,Z)),((((P,Q),(,S)),(,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(T,((V,W),U)))))))))));",11,0,55
reconcILS,8489,"((((((((G,AA),(Z,AB)),((Y,(X,(U,((W,V),T)))),((((S,R),Q),P),(O,((J,(M,I)),(K,((L,N),H))))))),((F,(E,D)),C)),(B,AC)),A),((X,((W,(V,V)),(U,U))),((G,AB),AA))),C);","(AC,(B,(A,((F,(D,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(T,((V,W),U)))))))))));",5,14,12
ete3,8489,"((((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),AC),((((((C,(((Y,((T,((U,U),((V,V),W))),X)),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),(((Z,G),(AB,AA)),((Z,G),(AA,AB))))),((E,D),F)),A),B),AC),((((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),AC),((((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),AC),(((A,(((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((D,E),F)),((C,(((((((((K,L),(N,H)),((K,L),(H,N))),((L,K),(N,H))),((I,M),J)),O),(((S,R),(Q,P)),((P,Q),(R,S)))),(((((U,(V,W)),T),(((W,V),U),T)),X),Y)),(((G,Z),(AA,AB)),((Z,G),(AB,AA))))),((E,D),F)))),B),AC)))));","(AC,(B,(A,((F,(D,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(T,((V,W),U)))))))))));",12,0,149
reconcILS,9017,"((AC,((((((AA,AA),AB),(Z,G)),((Y,((X,X),(((W,V),U),(T,T)))),(((S,R),(((Q,P),Q),Q)),(O,((L,(K,(((((((J,J),J),J),J),J),M),I))),(N,H)))))),((F,(E,(((D,D),D),D))),C)),(B,A))),AC);","(,(B,(A,((F,(,E)),(C,(((AB,),(G,Z)),((((P,),(R,S)),(O,((,(I,M)),((H,N),(L,K))))),(Y,(,(,((V,W),U)))))))))));",13,8,0
ete3,9017,"((((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),AC),((((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),((A,(((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),(((D,(D,(D,D))),E),F)),((C,((((((((K,L),(H,N)),((M,I),J)),((((L,K),(N,H)),(((M,I),J),((I,M),(J,(J,(J,(J,(J,J)))))))),(((K,L),(N,H)),((M,I),J)))),O),(((P,Q),((P,Q),(P,Q))),(R,S))),((((T,T),(U,(V,W))),(X,X)),Y)),((G,Z),(AB,(AA,AA))))),((E,D),F)))),B)),AC));","(,(B,(A,((F,(,E)),(C,(((AB,),(G,Z)),((((P,),(R,S)),(O,((,(I,M)),((H,N),(L,K))))),(Y,(,(,((V,W),U)))))))))));",11,0,107
reconcILS,9008,"((B,AC),((((((AA,AA),AA),(Z,G)),(((((X,X),X),X),(Y,((U,U),(((W,V),W),T)))),(((S,(((((R,R),R),R),R),R)),(Q,P)),(O,((N,J),(M,(I,((K,L),H)))))))),(F,(E,(((((((D,D),D),D),D),D),D),D)))),A));","(AC,(B,(A,((F,(,E)),(C,(((AB,),(G,Z)),((((P,Q),(,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(,(T,((V,),)))))))))));",19,5,7
ete3,9008,"(((B,(A,((C,(((((((((M,I),J),((N,H),(L,K))),(((K,L),(N,H)),((I,M),J))),(((K,L),(H,N)),((M,I),J))),O),((P,Q),((R,(R,(R,(R,(R,R))))),S))),(((X,(((U,((V,W),(V,W))),T),(((W,V),(U,U)),T))),Y),((((U,(W,V)),T),(X,(X,(X,X)))),Y))),((AB,(AA,(AA,AA))),(G,Z)))),(((D,(D,(D,(D,(D,(D,(D,D))))))),E),F)))),AC),(((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),AC));","(AC,(B,(A,((F,(,E)),(C,(((AB,),(G,Z)),((((P,Q),(,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(,(T,((V,),)))))))))));",10,0,53
reconcILS,4134,"(((((((Z,G),AA),AB),((X,(Y,(((W,V),U),(((((T,T),T),T),T),T)))),(((S,(R,R)),(Q,P)),(O,(((K,N),(((L,L),L),(M,(J,((((I,I),I),I),I))))),H))))),C),((F,(((AC,AC),AC),AC)),(E,D))),A);","(AC,(B,(A,((F,(D,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(T,((V,W),U)))))))))));",13,9,4
ete3,4134,"((((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),AC),(((((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),(F,(D,E))),A),B),AC),(((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),(AC,(AC,(AC,AC))))),((((((E,D),F),(C,((((((((K,L),(N,H)),((M,I),J)),((((K,(L,(L,L))),(N,H)),(((M,(I,(I,(I,(I,I))))),J),((I,M),J))),(((M,I),J),((L,K),(H,N))))),O),((P,Q),((R,R),S))),(((X,((T,(T,(T,(T,(T,T))))),(U,(V,W)))),Y),((((U,(W,V)),T),X),Y))),(((Z,G),(AA,AB)),((AB,AA),(G,Z)))))),A),B),AC)));","(AC,(B,(A,((F,(D,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(T,((V,W),U)))))))))));",12,0,103
reconcILS,4916,"(((((((((AA,AA),AB),(G,G)),Z),((Y,(X,((((W,W),W),V),(((U,U),U),T)))),(((S,(R,R)),(Q,P)),(O,(((J,(M,M)),(L,(((I,(K,K)),N),I))),H))))),C),((E,(F,D)),A)),AC),AC);","(,(B,(A,((F,(D,E)),(C,(((AB,),(,Z)),((((P,Q),(,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(T,((V,),)))))))))));",12,11,5
ete3,4916,"((((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),AC),((B,((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),(((E,D),F),((D,E),F))),A),((((E,D),F),(C,((((((((K,L),(N,H)),((M,I),J)),((((((K,L),(N,H)),((M,I),J)),((((K,L),(H,N)),((M,I),J)),(((L,(K,K)),(N,H)),((M,I),J)))),(((K,L),(N,H)),((M,I),J))),(((K,L),(N,H)),((I,(M,M)),J)))),O),((P,Q),((R,R),S))),((((((W,V),(U,(U,U))),T),((U,(V,(W,(W,W)))),T)),X),Y)),(((G,Z),(AA,AB)),((Z,(G,G)),(AB,(AA,AA))))))),A))),AC));","(,(B,(A,((F,(D,E)),(C,(((AB,),(,Z)),((((P,Q),(,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(T,((V,),)))))))))));",13,0,104
reconcILS,5239,"(((((((((AB,AA),(Z,G)),((Y,(X,(((W,V),U),T))),(((S,R),(Q,P)),(O,((J,(M,I)),((K,L),(N,H))))))),(F,(E,D))),A),(AC,AC)),B),(F,((S,(O,(I,(L,H)))),AA))),D);","(AC,(B,(A,((F,(D,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(T,((V,W),U)))))))))));",2,4,17
ete3,5239,"((((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),AC),((((A,((C,((((((U,(W,V)),T),X),Y),(((R,S),(Q,P)),((((M,I),J),((K,L),(N,H))),O))),((Z,G),(AB,AA)))),((E,D),F))),B),AC),((((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),AC),((B,(A,((C,(((((((H,N),(L,K)),((I,M),J)),O),((P,Q),(R,S))),(((T,(U,(V,W))),X),Y)),((G,Z),(AA,AB)))),((D,E),F)))),(AC,AC)))));","(AC,(B,(A,((F,(D,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(T,((V,W),U)))))))))));",4,0,74
reconcILS,7559,"((AC,AC),((((((((((((((AA,AA),AA),AA),AA),AA),AA),AA),AA),AA),((Z,G),AB)),((X,(Y,(((W,(V,V)),U),T))),((((S,R),Q),P),(O,((((K,(L,L)),N),((J,M),(I,I))),H))))),B),(A,C)),(F,(E,D))));","(,(B,(A,((F,(D,E)),(C,(((AB,),(G,Z)),((((P,Q),(R,S)),(O,((J,(,M)),((H,N),(,K))))),(Y,(X,(T,((,W),U)))))))))));",5,10,0
ete3,7559,"((((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((D,E),F)),A),B),((B,(((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A)),((((C,((((((((K,L),(N,H)),((M,I),J)),((((M,(I,I)),J),((I,M),J)),((H,N),((L,L),K)))),O),(((S,R),(Q,P)),((P,Q),(R,S)))),(((X,(T,(U,((V,V),W)))),Y),((((U,(W,V)),T),X),Y))),(((AA,AB),(G,Z)),((Z,G),(AB,(AA,(AA,(AA,(AA,(AA,(AA,(AA,(AA,(AA,AA)))))))))))))),((E,D),F)),A),B))),(AC,AC));","(,(B,(A,((F,(D,E)),(C,(((AB,),(G,Z)),((((P,Q),(R,S)),(O,((J,(,M)),((H,N),(,K))))),(Y,(X,(T,((,W),U)))))))))));",11,0,79
reconcILS,11088,"((AC,((((((((AB,AA),G),Z),((Y,(X,((((W,W),V),(U,U)),T))),(((Q,Q),((S,((R,R),R)),P)),(O,((J,(K,(M,I))),(N,(((((L,L),L),L),L),H))))))),C),(F,(E,(D,D)))),A),B)),AC);","(,(B,(A,((F,(,E)),(C,(((AB,AA),(G,Z)),((((P,),(,S)),(O,((J,(I,M)),((H,N),(,K))))),(Y,(X,(T,((V,),)))))))))));",10,7,0
