Repliccate,Gene_trees
1607,"(((((B,V),U),W),((((R,S),P),Q),((T,(F,O)),(J,((L,((K,N),M)),((G,((D,H),E)),(I,C))))))),A);"
410,"((((B,V),(U,W)),(((S,T),(((R,Q),P),O)),(((N,M),(L,K)),(J,(G,(((H,E),D),(F,(I,C)))))))),A);"
569,"(((((((T,(S,(((R,Q),O),P))),((N,M),((L,K),(J,((((((I,E),H),F),D),C),G))))),V),W),B),U),A);"
339,"(((((B,V),W),U),((S,(((R,Q),P),O)),(((D,H),E),(((G,I),(F,((L,((N,M),K)),J))),C)))),A);"
981,"((((B,V),W),U),((T,(S,((R,Q),(P,O)))),((((N,M),L),K),(J,(((F,E),G),(H,(I,C)))))));"
1400,"((((B,V),U),((T,(S,(R,(Q,(P,O))))),(J,((L,((N,M),K)),((D,(H,(F,(G,(I,C))))),E))))),A);"
275,"(((((((U,B),W),V),(S,(R,((O,P),Q)))),T),(((N,M),(L,K)),((F,(G,(H,D))),(I,C)))),A);"
765,"((((((((B,W),V),U),(P,(Q,(R,O)))),(T,(((F,G),I),((E,(H,D)),C)))),J),((N,M),L)),S);"
1601,"((((U,(B,W)),V),((T,(S,(P,((R,Q),O)))),(J,((F,G),(((((((K,L),C),E),H),D),I),(N,M)))))),A);"
769,"(((((W,V),(U,B)),((L,((N,M),K)),(J,(F,(I,((G,E),((H,D),C))))))),(T,(S,((R,P),O)))),A);"
1337,"(((((U,B),W),V),((((S,P),T),((R,Q),O)),(N,(M,(K,(((((F,D),G),I),L),(((H,J),C),E))))))),A);"
1722,"(((((W,V),B),U),(((S,T),(P,((Q,R),O))),(G,((((((F,L),K),H),D),((N,M),J)),(E,(I,C)))))),A);"
702,"((((U,V),(B,W)),(S,(((((Q,T),P),R),O),((((L,M),N),K),((((((D,I),F),E),G),H),(J,C)))))),A);"
1590,"(A,((((U,B),V),W),((S,(T,((R,Q),(P,O)))),(((L,K),(((H,D),E),J)),((N,M),(((G,C),I),F))))));"
634,"((((W,V),(U,B)),(((S,T),(((Q,P),R),O)),(((M,N),K),(L,((I,J),(((H,E),D),((F,G),C))))))),A);"
445,"((((((B,V),U),W),(((((D,E),H),(I,((N,M),(L,K)))),((J,F),G)),C)),(S,(T,(((R,O),P),Q)))),A);"
1560,"(((((B,V),W),U),((S,((T,P),((Q,O),R))),(K,(((M,E),N),(I,(((L,G),(D,J)),((F,H),C))))))),A);"
616,"(((((((((((B,(W,V)),U),(T,(S,(Q,(R,(P,O)))))),((L,K),(N,M))),H),J),D),E),G),I),C);"
1806,"(T,((((U,B),V),W),((S,(((R,Q),P),O)),((L,((N,M),K)),(((E,D),H),((I,J),((F,G),C)))))));"
199,"(((((U,W),V),B),(T,((S,(((O,Q),P),R)),(((L,M),N),((E,(F,((G,(H,D)),J))),(I,C)))))),A);"
430,"((((U,B),W),((T,(S,((R,Q),P))),(((F,(((N,M),L),K)),J),(I,(D,((E,H),(G,C))))))),A);"
717,"(A,(((U,V),((P,O),(M,(((E,D),H),((G,C),(((Q,F),J),((S,(I,((N,L),K))),(B,W)))))))),T));"
1213,"((((U,W),B),((T,(S,((R,Q),(P,O)))),((((N,M),(L,K)),J),((E,D),(H,(((I,C),F),G)))))),A);"
873,"(((B,V),(U,W)),(((S,T),(P,((R,Q),O))),(D,((N,M),(K,(L,((E,(H,J)),(F,(G,(I,C))))))))));"
931,"(((((U,B),V),W),((T,(S,((R,(Q,P)),O))),((N,M),(((L,K),J),(((F,I),G),(((H,C),E),D)))))),A);"
1339,"((((B,W),V),U),((S,(T,(((Q,P),R),O))),(((N,((M,L),K)),J),(((F,G),((E,H),D)),C))));"
592,"((((B,(U,W)),V),((T,(S,((R,P),(Q,O)))),(((E,D),((F,G),K)),((N,J),(((H,I),L),C))))),M);"
649,"((((B,(U,W)),V),((S,(P,((R,T),(Q,O)))),(((N,M),H),((((((L,K),G),((I,F),C)),D),E),J)))),A);"
1298,"((((U,W),V),B),((T,(S,(((R,Q),P),O))),(((N,M),L),(J,((H,(E,D)),(F,(G,(I,C))))))));"
1663,"((((U,V),B),W),((T,(S,(((R,Q),P),O))),((((N,M),L),K),(J,((E,D),(F,((G,I),C)))))));"
292,"(A,((((W,V),U),B),((T,(S,((R,Q),(P,O)))),(((((N,M),L),K),J),(E,((((D,H),G),F),(I,C)))))));"
435,"(((((W,V),B),U),((S,(((R,Q),P),O)),(T,(L,((N,M),(K,(((E,H),D),(J,((F,G),C))))))))),A);"
515,"((((U,W),V),B),((T,(S,((R,P),O))),((F,(N,M)),(I,(((L,K),J),((((D,H),C),E),G))))));"
891,"((((W,V),(U,B)),(T,((S,(Q,P)),O))),(((N,M),(L,K)),(J,((((H,E),I),D),(G,(F,C))))));"
387,"((((U,B),W),((S,(T,(((R,Q),P),O))),(((M,L),(N,K)),((E,(((F,G),I),J)),(D,(H,C)))))),A);"
517,"(((((B,V),U),W),((T,(((Q,R),(P,O)),S)),(J,((I,((H,E),D)),(((F,G),((N,M),(L,K))),C))))),A);"
599,"(A,((((W,V),(U,B)),(S,(T,(P,((R,Q),O))))),(((H,D),E),(N,(((M,G),F),(((L,(I,K)),J),C))))));"
1195,"(((((B,W),V),U),((S,(P,((R,Q),O))),(K,((N,M),(L,(J,(G,((((H,D),F),E),(I,C))))))))),A);"
1235,"(((T,(R,P)),S),((((((((((((B,(U,W)),V),O),J),((N,M),K)),L),F),I),G),C),(E,D)),H));"
1397,"(((((B,V),W),U),(((S,T),((R,(Q,P)),O)),((((N,M),L),K),((E,H),(((((G,I),F),C),J),D))))),A);"
1608,"((((U,W),B),((S,(((R,Q),(T,P)),O)),(((N,M),(L,K)),(J,((I,(F,((D,E),H))),C))))),A);"
1697,"((((U,B),V),W),((T,(S,(((R,Q),P),O))),(((((N,M),L),K),J),((E,H),(((I,G),F),C)))));"
480,"(((B,V),(U,W)),(F,(M,(((((I,N),E),P),(H,(((R,Q),(T,O)),(((S,L),G),K)))),((C,J),D)))));"
928,"((((W,V),(U,B)),(((S,T),((R,Q),(P,O))),(((N,M),L),(J,(((E,H),D),(I,((F,C),G))))))),A);"
54,"(((((U,B),W),V),((I,K),((L,J),(N,(((M,F),G),((E,((H,D),(S,(T,((R,Q),(P,O)))))),C)))))),A);"
303,"(A,((((U,V),B),W),((S,(P,(((R,Q),T),O))),(F,(K,((N,M),(((L,I),(((H,D),E),J)),(G,C))))))));"
667,"(((((U,B),W),V),(((S,T),(((R,Q),P),O)),((L,((N,M),K)),(J,((E,(H,D)),(I,(F,C))))))),A);"
763,"(((((U,V),B),W),(((S,T),(((R,Q),P),O)),((L,K),(J,((E,(H,D)),(((F,G),I),C)))))),A);"
1333,"(A,((((((((B,W),U),H),(E,D)),(G,C)),(F,(I,(T,K)))),(((N,M),L),J)),(S,(P,((R,Q),O)))));"
1540,"(((((U,W),V),B),((T,(S,(P,((R,Q),O)))),(J,(((((E,G),F),D),H),((((L,K),N),M),(I,C)))))),A);"
56,"(((((U,B),W),V),((T,(S,(P,((R,Q),O)))),(((N,M),(L,K)),(G,((F,I),((E,H),(J,C))))))),A);"
1266,"(((((B,V),W),U),((T,((S,(Q,(R,P))),O)),((N,M),(L,(K,((((F,I),((D,E),H)),J),(G,C))))))),A);"
311,"(((((U,B),W),V),(((S,T),(R,((Q,P),O))),(L,((M,K),(N,((F,J),(((((G,E),D),H),I),C))))))),A);"
1138,"((((U,B),V),((T,(S,(((R,Q),P),O))),((((N,M),((E,H),D)),(L,J)),(K,(((G,F),C),I))))),A);"
233,"((((W,V),(U,B)),((((S,(T,(((R,Q),P),O))),((N,M),(L,K))),J),(H,(((((C,G),I),E),D),F)))),A);"
664,"((((((U,V),B),S),(T,(((R,Q),P),O))),((L,((N,M),K)),(J,(G,((F,E),(((C,H),I),D)))))),A);"
1220,"(A,((((U,V),B),W),((T,(S,(((P,R),Q),O))),(J,(((((G,E),H),L),(F,(D,((N,M),K)))),(I,C))))));"
