Process,Replicate,Gene_tree,Species_Tree,Duplication,NNI,Loss
ete3,3569,"((((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),AC),((B,(A,(((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),(C,C)),((D,E),F)),((C,(((((((H,(N,(N,N))),(L,(K,K))),((I,M),J)),O),((P,Q),(R,S))),(((T,((U,(U,(U,U))),(V,W))),X),Y)),(((Z,G),(AB,AA)),((AA,AB),(G,Z))))),((E,D),F))))),AC));","(AC,(B,(A,((F,(D,E)),(,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(O,((J,(I,M)),((H,),(L,))))),(Y,(X,(T,((V,W),)))))))))));",7,0,49
reconcILS,3805,"((AC,(((((((AB,AA),G),Z),((X,((Y,Y),((((((((W,W),W),V),V),V),V),V),(U,(U,U))))),(((S,R),(Q,P)),(((K,L),(N,(M,(J,(M,I))))),O)))),(((F,F),(E,D)),C)),A),B)),AC);","(,(B,(A,((,(D,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(O,((J,(I,)),((H,N),(L,K))))),(,(X,(T,((V,W),)))))))))));",11,9,4
ete3,3805,"((((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),AC),((B,(A,(((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((D,E),(F,F))),((C,((((O,((((K,L),(H,N)),(((I,M),J),((I,M),J))),(((N,H),(L,K)),((M,I),J)))),((P,Q),(R,S))),((((T,(((U,U),U),((W,V),((W,V),((W,V),((W,V),(V,(W,(W,W))))))))),X),(Y,Y)),((((U,(W,V)),T),X),Y))),(((G,Z),(AA,AB)),((Z,G),(AA,AB))))),((E,D),F))))),AC));","(,(B,(A,((,(D,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(O,((J,(I,)),((H,N),(L,K))))),(,(X,(T,((V,W),)))))))))));",11,0,79
reconcILS,3840,"((((((((((AB,AA),(Z,G)),((Y,(X,(((W,W),V),((U,U),T)))),(((Q,((S,((R,R),R)),P)),O),((J,(M,I)),(((K,L),N),H))))),C),(B,A)),F),E),D),AC),AC);","(,(B,(A,((F,(D,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(T,((V,W),U)))))))))));",6,11,6
ete3,3840,"((((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),AC),(AC,(((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),(((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((D,E),F)),A),B),(((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),(((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),(((((E,D),F),(C,(((((O,((((K,L),(N,H)),((H,N),(L,K))),((I,M),J))),((S,R),(Q,P))),(((((K,L),(N,H)),((M,I),J)),O),(((Q,P),((R,(R,R)),S)),((S,R),(P,Q))))),((((((W,V),(U,U)),T),((U,(V,(W,W))),T)),X),Y)),((G,Z),(AA,AB))))),A),B)))))));","(,(B,(A,((F,(D,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(T,((V,W),U)))))))))));",9,0,177
reconcILS,1254,"((AC,(B,B)),((((((AB,AA),(Z,G)),((X,((((W,W),(V,V)),(U,U)),T)),(((S,R),(Q,P)),(O,((K,K),(((L,L),L),((N,(J,(I,I))),(H,H)))))))),C),A),(F,(E,D))));","(AC,(,(A,((F,(D,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(O,((J,(,M)),((,N),(,))))),(Y,(X,(T,((,),)))))))))));",9,6,2
ete3,1254,"(((B,((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((D,E),F)),A),((((E,D),F),(C,(((Y,((T,((U,U),((V,V),(W,W)))),X)),((((((((K,L),(N,(H,H))),((M,I),J)),(((K,L),(H,N)),((M,(I,I)),J))),(((K,(L,(L,L))),(N,H)),((M,I),J))),(((L,(K,K)),(N,H)),((M,I),J))),O),((P,Q),(R,S)))),((G,Z),(AA,AB))))),A))),AC),(((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),(B,B)),AC));","(AC,(,(A,((F,(D,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(O,((J,(,M)),((,N),(,))))),(Y,(X,(T,((,),)))))))))));",11,0,91
reconcILS,3263,"((AC,(((((((AA,AA),AB),(Z,G)),((X,((((W,V),(W,Y)),U),T)),(((S,((R,R),R)),(Q,P)),((L,O),(I,((J,M),(K,(N,H)))))))),A),(B,(F,(E,(D,D))))),C)),AC);","(,(B,(A,((F,(,E)),(C,(((AB,),(G,Z)),((((P,Q),(,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(T,((V,W),U)))))))))));",7,13,7
ete3,3263,"((((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),AC),((((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),(((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),(((D,D),E),F)),A),B),(B,(((C,(((((O,((((L,K),(H,N)),((I,M),J)),(((K,L),(N,H)),((M,I),J)))),((((K,L),(N,H)),((M,I),J)),O)),((P,Q),((R,(R,R)),S))),((((((U,(W,V)),T),X),Y),((((((W,V),U),T),X),Y),(((((U,(V,W)),T),X),Y),((((U,(V,W)),T),X),Y)))),((((U,(W,V)),T),X),Y))),((G,Z),(AB,(AA,AA))))),((E,D),F)),A)))),AC));","(,(B,(A,((F,(,E)),(C,(((AB,),(G,Z)),((((P,Q),(,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(T,((V,W),U)))))))))));",8,0,128
reconcILS,3680,"((AC,(((((((AA,AA),(((Z,Z),Z),G)),AB),((Y,((X,X),(((U,((V,W),W)),U),T))),((Q,((S,R),P)),(O,((M,(J,I)),(K,(L,(N,H)))))))),C),(F,(E,D))),((B,B),B))),A);","(AC,(,(A,((F,(D,E)),(C,(((AB,),(G,)),((((P,Q),(R,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(,(T,((V,),)))))))))));",8,8,0
