Repliccate,Gene_trees
4051,"(((((U,B),W),V),((S,(((Q,R),P),O)),(((N,M),(L,K)),(((((((J,I),E),H),G),F),D),C)))),T);"
5504,"(((((B,W),V),U),((T,(P,(((S,R),Q),O))),((((D,L),M),N),((H,(E,J)),(((K,F),I),C))))),A);"
5399,"((((((((U,V),(B,W)),C),((H,I),D)),(((((((R,P),T),Q),O),R),S),((((L,K),N),M),J))),((F,G),D)),H),A);"
10116,"((((U,(B,W)),V),((T,(S,((R,Q),((P,P),O)))),(J,(F,(((H,(((E,G),C),D)),K),(N,M)))))),A);"
246,"((((W,V),(U,B)),((S,((R,Q),(P,O))),(((N,L),K),(((E,(H,D)),J),((I,(F,G)),C))))),A);"
5664,"(A,((((((U,V),(B,W)),P),((((N,M),L),K),(S,((G,I),((((E,H),D),J),C))))),O),(R,Q)));"
6638,"((((W,V),B),U),((P,(S,((R,Q),O))),(((N,M),L),(J,(((G,E),(F,(I,(T,K)))),((H,D),C))))));"
6824,"(((((U,B),V),W),(((S,T),(((P,O),Q),R)),(((((N,M),L),K),J),(((((((D,C),G),E),I),H),F),G)))),A);"
8890,"((((((A,(((V,U),B),W)),((N,M),((((((E,D),J),F),G),H),((L,K),(I,C))))),T),(S,(P,O))),R),Q);"
10563,"(((((U,B),W),V),((T,(S,(Q,(P,(R,O))))),(J,((L,(M,(N,K))),((((((G,H),I),E),D),F),C))))),A);"
2083,"(A,((((U,B),V),W),(P,(S,(R,(Q,(O,(T,((M,((N,L),(K,J))),((((((C,I),F),H),E),G),D))))))))));"
2597,"(((((U,B),V),W),((S,(((R,Q),P),O)),(((N,M),(L,K)),(I,(((G,(F,(E,(H,D)))),J),C))))),A);"
4881,"(A,(((B,W),V),((T,(R,(Q,O))),(P,(S,((L,((N,M),J)),(K,((I,(F,((H,E),D))),C))))))));"
6979,"(A,((((U,B),V),W),(R,((Q,P),(O,((S,T),(G,((F,H),(((I,(L,((M,K),N))),J),((E,D),C))))))))));"
9810,"(((((W,V),U),B),((P,(((S,R),(Q,T)),O)),((K,J),((I,((E,H),D)),(((((F,G),C),L),N),M))))),A);"
711,"(((((((((((U,B),V),N),K),M),L),(((((((D,G),H),E),F),H),C),I)),((S,O),J)),T),((R,Q),P)),(A,A));"
895,"((((B,V),(U,W)),(((Q,Q),(T,(S,O))),(J,((N,(M,(L,K))),((((((H,C),I),E),G),D),F))))),A);"
8883,"((U,((T,(O,(P,((M,R),(S,(Q,(J,((N,(L,K)),((H,D),((G,(F,I)),(E,C))))))))))),B)),A);"
9757,"(((((V,V),((U,U),B)),W),((S,(((P,O),R),Q)),((L,((N,M),K)),((((((I,G),H),F),D),E),J)))),((A,A),A));"
